AdmArea,District,EDU_NAME,OGE_SCORE,YEAR,global_id
Восточный административный округ,район Богородское,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1797 «Богородская»,98,2016-2017,797361191
Восточный административный округ,район Богородское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 390 имени генерала П.И. Батова»,28,2016-2017,797363454
Восточный административный округ,район Вешняки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 810»,47,2016-2017,797363503
Восточный административный округ,район Вешняки,Государственное бюджетное общеобразовательное учреждение города Москвы средняя общеобразовательная школа № 892,30,2016-2017,797363563
Восточный административный округ,район Гольяново,Частное образовательное учреждение средняя общеобразовательная школа «ЛАД»,4,2016-2017,797363627
Восточный административный округ,район Ивановское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1504»,134,2016-2017,797363683
Восточный административный округ,район Новогиреево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1310»,58,2016-2017,797363754
Восточный административный округ,район Новокосино,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж музыкально-театрального искусства им.Г.П. Вишневской»,28,2016-2017,797363806
Восточный административный округ,район Соколиная Гора,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1362»,57,2016-2017,797363875
Западный административный округ,район Дорогомилово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1232 «На Кутузовском»,71,2016-2017,797363935
Западный административный округ,район Кунцево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 806»,70,2016-2017,797363998
Западный административный округ,район Кунцево,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс ЗАПАД»,10,2016-2017,797364059
Западный административный округ,Можайский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1195»,98,2016-2017,797364130
Западный административный округ,Можайский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1400»,95,2016-2017,797364196
Западный административный округ,район Ново-Переделкино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1015»,69,2016-2017,797364249
Западный административный округ,район Ново-Переделкино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1238»,82,2016-2017,797364310
Западный административный округ,район Проспект Вернадского,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 324 «Жар-птица»,44,2016-2017,797364399
Западный административный округ,район Раменки,Автономная некоммерческая организация Негосударственная общеобразовательная организация «Наши традиции»,7,2016-2017,797364479
Западный административный округ,район Солнцево,Автономная некоммерческая образовательная организация средняя общеобразовательная школа «Колледж-XXI»,7,2016-2017,797364537
Западный административный округ,район Солнцево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1347»,100,2016-2017,797364583
Западный административный округ,район Солнцево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1436»,36,2016-2017,797364647
Западный административный округ,район Фили-Давыдково,Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа-интернат «Навигацкая школа»,21,2016-2017,797364737
Западный административный округ,район Фили-Давыдково,Общеобразовательная автономная некоммерческая организация «Средняя общеобразовательная школа «ИНТЕК»,7,2016-2017,797364820
Зеленоградский административный округ,район Крюково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1912 имени Бауыржана Момышулы»,57,2016-2017,797364835
Зеленоградский административный округ,район Матушкино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 618»,80,2016-2017,797364882
