Id_операции,"Тип операции (входящая - получение денег, исходящая - трата денег) Расход - это сумма входящих и исходящих операций с правильными знаками",Id_проекта,Номер месяца,Год,Сумма
1,Входящая,3,10,2019,  114 353 ₽ 
2,Исходящая,3,9,2021,  170 377 ₽ 
3,Исходящая,6,2,2019,  142 879 ₽ 
4,Исходящая,1,12,2020,  184 018 ₽ 
5,Входящая,5,11,2020,  104 172 ₽ 
6,Входящая,2,12,2019,  183 190 ₽ 
7,Исходящая,4,2,2019,  143 465 ₽ 
8,Исходящая,4,4,2019,  188 508 ₽ 
9,Исходящая,4,7,2021,  187 646 ₽ 
10,Исходящая,5,7,2019,  111 461 ₽ 
11,Исходящая,2,9,2019,  125 511 ₽ 
12,Входящая,4,11,2019,  158 119 ₽ 
13,Входящая,3,10,2019,  103 535 ₽ 
14,Исходящая,5,6,2020,  119 383 ₽ 
15,Исходящая,3,12,2021,  181 183 ₽ 
16,Входящая,5,9,2021,  157 789 ₽ 
17,Исходящая,3,8,2020,  122 841 ₽ 
18,Входящая,1,6,2020,  155 411 ₽ 
19,Исходящая,5,7,2020,  122 780 ₽ 
20,Входящая,5,3,2020,  175 147 ₽ 
21,Исходящая,2,8,2020,  122 621 ₽ 
22,Исходящая,1,3,2021,  178 936 ₽ 
23,Входящая,5,7,2021,  184 289 ₽ 
24,Входящая,2,8,2021,  104 395 ₽ 
25,Входящая,3,6,2019,  130 911 ₽ 
26,Исходящая,4,10,2020,  119 653 ₽ 
27,Входящая,3,4,2020,  190 262 ₽ 
28,Исходящая,3,2,2019,  151 364 ₽ 
29,Входящая,3,1,2020,  171 806 ₽ 
30,Исходящая,5,10,2021,  155 932 ₽ 
31,Исходящая,1,6,2020,  194 872 ₽ 
32,Исходящая,5,9,2020,  143 678 ₽ 
33,Исходящая,1,5,2020,  186 100 ₽ 
34,Исходящая,4,1,2021,  164 034 ₽ 
35,Входящая,6,12,2021,  173 628 ₽ 
36,Исходящая,5,10,2021,  186 424 ₽ 
37,Входящая,4,11,2021,  190 793 ₽ 
38,Входящая,6,8,2020,  153 669 ₽ 
39,Исходящая,1,1,2021,  108 144 ₽ 
40,Исходящая,6,11,2020,  108 925 ₽ 
41,Исходящая,5,6,2020,  178 238 ₽ 
42,Исходящая,3,2,2020,  176 406 ₽ 
43,Исходящая,2,8,2020,  127 050 ₽ 
44,Исходящая,2,5,2020,  167 644 ₽ 
45,Исходящая,3,1,2019,  152 541 ₽ 
46,Исходящая,5,11,2021,  199 534 ₽ 
47,Исходящая,5,11,2019,  168 394 ₽ 
48,Исходящая,6,4,2020,  136 995 ₽ 
49,Исходящая,1,1,2021,  132 769 ₽ 
50,Входящая,4,6,2020,  124 882 ₽ 
51,Входящая,2,8,2021,  118 768 ₽ 
52,Исходящая,5,4,2019,  181 609 ₽ 
53,Исходящая,2,6,2020,  171 693 ₽ 
54,Входящая,4,12,2019,  140 960 ₽ 
55,Входящая,6,11,2019,  127 677 ₽ 
56,Исходящая,3,12,2021,  186 291 ₽ 
